set,distance_cm,power_dbm,scan_id,jammer_channel_mhz,windows,first_window_start,last_window_start,source_file,sha256
development_train,20,10,0,5180,657,0,656,samples_chamber_5180MHz_20cm_10dBm_0.csv,b129837fcf5ae6c2e55b5fc439bb8abd497919658e197b5f391809f5e116cd22
development_train,20,10,0,5200,657,0,656,samples_chamber_5200MHz_20cm_10dBm_0.csv,84a71f4a05ef09351cff7cfef3ed659425a868bf77a04db77ecb02e6f3b88d69
development_train,20,10,0,5220,657,0,656,samples_chamber_5220MHz_20cm_10dBm_0.csv,fb593bbd35c7212eec2d5b27b358810e869dedcca7cc43562642cf4fb4aa0c76
development_train,20,10,0,5240,657,0,656,samples_chamber_5240MHz_20cm_10dBm_0.csv,5c640b676c1db217bcc9cbbaf86a1572de266a4957bb6005794b3a749fe6c61a
development_train,20,10,0,5260,657,0,656,samples_chamber_5260MHz_20cm_10dBm_0.csv,b8a04d8ce94ad4a5aaf8294a4b0ae92d59cbb1737dd85228d323ccb7e0531901
development_train,20,10,0,5280,657,0,656,samples_chamber_5280MHz_20cm_10dBm_0.csv,39ae93b0877d4ecd4119758b8ef1d8fc5ced42b2298c229d085b5f4603309d8c
development_train,20,10,0,5300,657,0,656,samples_chamber_5300MHz_20cm_10dBm_0.csv,461cc3c3e1d9ea3ba54ede750a108c8a111abac278ff00e4c9a3c1e75c7a76fd
development_train,20,10,0,5320,657,0,656,samples_chamber_5320MHz_20cm_10dBm_0.csv,1d310d1b666c51920195a5916fbc1b588f515ab76074c37ee848aa0f8235ac3e
development_train,20,10,1,5180,657,0,656,samples_chamber_5180MHz_20cm_10dBm_1.csv,24d6f150c363adbbd4b0b5af90d51a3953221fa9fd89bd9de5105d1f57e5da39
development_train,20,10,1,5200,656,0,655,samples_chamber_5200MHz_20cm_10dBm_1.csv,99aac9a6d4c771e01260332e729cdc2f9c38f55b1e176cbb334cc2cf023900c5
development_train,20,10,1,5220,657,0,656,samples_chamber_5220MHz_20cm_10dBm_1.csv,33e5268991915ce20d7a053d8306290170bb0bde3de235c2d7b6090d1a115c88
development_train,20,10,1,5240,657,0,656,samples_chamber_5240MHz_20cm_10dBm_1.csv,55ce73d49ca9dd9ba3f584aaa035f5934adbdd6918589097aeaad87881c266fc
development_train,20,10,1,5260,657,0,656,samples_chamber_5260MHz_20cm_10dBm_1.csv,5e6b4d3b76898dedd3d09a8f9b7154b4b96f0a3a5b17b5135efde374fcc3215b
development_train,20,10,1,5280,657,0,656,samples_chamber_5280MHz_20cm_10dBm_1.csv,1ce2b04de8f2ff224f914127c98fecf35d25ca610e1bbb00bec66a04b2029013
development_train,20,10,1,5300,657,0,656,samples_chamber_5300MHz_20cm_10dBm_1.csv,f04c46d9d896154320b3eedccaab03bd75ed080e684e7d59fcfbd9ffcb674974
development_train,20,10,1,5320,657,0,656,samples_chamber_5320MHz_20cm_10dBm_1.csv,e17b520ff1a7b693cd75f4efef7c342cda68f30850ee6c99d088bf43695ddecf
development_train,20,10,2,5180,657,0,656,samples_chamber_5180MHz_20cm_10dBm_2.csv,0d746631ec63908689865d80d51540a85f2b9b07964d4c4c5c7c2fd34823820a
development_train,20,10,2,5200,657,0,656,samples_chamber_5200MHz_20cm_10dBm_2.csv,edace157a064605ebf970df8cff859b8d3fe6c271ab849f556bee70a1e0baab7
development_train,20,10,2,5220,657,0,656,samples_chamber_5220MHz_20cm_10dBm_2.csv,72ae5ac5f4b8042361a302f754ed430fb0cee4e3561f5890a77eb872868962bb
development_train,20,10,2,5240,657,0,656,samples_chamber_5240MHz_20cm_10dBm_2.csv,307000fcb5aa1100a8e71eeb31e14ed9448393efbefddab71ef03660a07e92e3
development_train,20,10,2,5260,657,0,656,samples_chamber_5260MHz_20cm_10dBm_2.csv,69106f29596c9b046d1619a56f35727f83e7d5613f13e19f8c8b73e0b1d8ea4c
development_train,20,10,2,5280,657,0,656,samples_chamber_5280MHz_20cm_10dBm_2.csv,cda46b0ebf142c0931146077068e5aaeed2a79ea6dd18d8d1eebf783cff6b8b4
development_train,20,10,2,5300,656,0,655,samples_chamber_5300MHz_20cm_10dBm_2.csv,b22d3aa0e5fefe530c2f6b2af8bc4e05be91523ec59d249831a3f77581a8c497
