model,train_seed,trainable_parameters,parameter_bytes,registered_buffer_bytes,inference_persistent_tensor_bytes,inference_tensor_bytes_scope,serialized_state_bytes,checkpoint_bytes,training_seconds,batch1_cpu_latency_ms_median,batch1_gpu_latency_ms_median,latency_repeats,device_used_for_training,jammer_mode
no_polynomial,1,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,63.70053089999419,0.1055,0.476,200,cpu,sweeping
no_polynomial,2,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,65.94655909998983,0.1051,0.4851,200,cpu,sweeping
no_polynomial,3,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,65.50248470000224,0.08604999999999999,0.4784,200,cpu,sweeping
no_polynomial,4,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,63.869025200008764,0.1067,0.4774,200,cpu,sweeping
no_polynomial,5,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,64.88608660000318,0.09445,0.4959,200,cpu,sweeping
no_polynomial,6,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,63.588177900004666,0.1043,0.439,200,cpu,sweeping
no_polynomial,7,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,64.44849790001172,0.1091,0.487,200,cpu,sweeping
no_polynomial,8,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,65.84759619999386,0.1046,0.35045,200,cpu,sweeping
no_polynomial,9,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,64.35432490000676,0.10535,0.45694999999999997,200,cpu,sweeping
no_polynomial,10,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,66.28803179999522,0.0855,0.4647,200,cpu,sweeping
no_polynomial,1,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,63.55623149999883,0.08685000000000001,0.4833,200,cpu,random
no_polynomial,2,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,64.7729057999968,0.10655,0.48765000000000003,200,cpu,random
no_polynomial,3,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,64.31743529999221,0.10815,0.44430000000000003,200,cpu,random
no_polynomial,4,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,67.16425690001051,0.1064,0.48145000000000004,200,cpu,random
no_polynomial,5,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,65.31186719999823,0.1078,0.4394,200,cpu,random
no_polynomial,6,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,65.5270074,0.08815,0.39759999999999995,200,cpu,random
no_polynomial,7,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,70.95003859999997,0.10665,0.70845,200,cpu,random
no_polynomial,8,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,70.6037614000088,0.11285,0.6859,200,cpu,random
no_polynomial,9,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,67.91916050000873,0.11075,0.74515,200,cpu,random
no_polynomial,10,24521,98084,1552,99636,"parameters + registered buffers only; excludes activations, framework/runtime objects, and allocator overhead",106849,424975,69.96904799999902,0.093,0.67165,200,cpu,random
